id,title,language,views,downloads,industry,runtime,IMDb_rating,director,release_date,posted_date
372092,Little Dixie,English,2794,304,Hollywood / English,105,4.8,John Swab,2023-01-28,2023-02-20
372091,Grilling Season: A Curious Caterer Mystery,English,1002,73,Hollywood / English,84,6.4,Paul Ziller,2023-02-05,2023-02-20
343381,In the Earth,English/Hindi,14419,1427,Hollywood / English,107,5.2,Ben Wheatley,2021-06-18,2021-04-20
371751,Sharper,English,18225,1781,Hollywood / English,116,6.5,Benjamin Caron,2023-02-17,2023-02-13
372042,Four Samosas,English,6912,458,Hollywood / English,80,6.9,Ravi Kapoor,2022-12-02,2023-02-18
371992,Ant-Man and the Wasp: Quantumania,English/Hindi,39399,14867,Hollywood / English,125,6.6,Peyton Reed,2023-02-17,2023-02-17
371991,The Inspection,English,5763,463,Hollywood / English,95,7.1,Elegance Bratton,2022-12-02,2023-02-17
369560,Cirkus,Hindi,126897,41512,Bollywood / Indian,139,6.5,Rohit Shetty,2022-12-23,2022-12-24
371989,Chakra,Hindi,37664,12642,Tollywood,131,6.4,Anandan .M.S.,2021-02-19,2023-02-17
371115,Maybe I Do,English,3584,271,Hollywood / English,95,5.2,Michael Jacobs,2023-01-26,2023-01-30
371880,A Todas Partes (All The Places),English,7271,566,Hollywood / English,97,5.1,Pitipol Ybarra,2023-02-14,2023-02-15
371879,A Sunday Affair,English,4339,397,Hollywood / English,96,5.3,Walter Taylaur,2023-02-14,2023-02-15
371877,The Girl Who Escaped: The Kara Robinson Story,English,7430,760,Hollywood / English,88,6.6,Simone Stock,2023-02-11,2023-02-15
371876,Marlowe,English,3044,283,Hollywood / English,110,6.1,Neil Jordan,2023-02-15,2023-02-15
371819,Squared Love All Over Again,English/Hindi,10757,1747,Hollywood / English,99,5.0,Filip Zylber,2023-02-13,2023-02-14
371817,Infamously in Love,English,3444,191,Hollywood / English,90,5.6,Kristin Fairweather,2022-10-09,2023-02-14
371120,Infinity Pool,English,14171,1245,Hollywood / English,117,6.8,Brandon Cronenberg,2023-01-27,2023-01-30
371760,Your Place or Mine,English/Hindi,14638,2712,Hollywood / English,109,5.7,Aline Brosh McKenna,2023-02-10,2023-02-13
371757,Somebody I Used to Know,English/Hindi,11963,1901,Hollywood / English,106,5.7,Dave Franco,2023-02-10,2023-02-13
370801,The Son,English,7475,483,Hollywood / English,123,6.1,Florian Zeller,2023-02-17,2023-01-23
371753,Magic Mike's Last Dance,English,10816,1568,Hollywood / English,112,5.9,Steven Soderbergh,2023-02-10,2023-02-13
371749,Consecration,English,3473,256,Hollywood / English,90,5.8,Christopher Smith,2023-02-10,2023-02-13
371675,Dear David,English,22435,2525,Hollywood / English,118,6.8,Lucky Kuswandi,2023-02-09,2023-10-02
371672,Condor's Nest,English,6085,639,Hollywood / English,102,4.0,Phil Blattenberger,2023-01-27,2023-10-02
369610,Whitney Houston: I Wanna Dance with Somebody,English,5303,308,Hollywood / English,144,6.9,Kasi Lemmons,2022-12-23,2022-12-26
369000,Empire of Light,English,6335,359,Hollywood / English,115,6.7,Sam Mendes,2022-12-09,2022-12-12
365008,The Woman King,English/Hindi,49260,10522,Hollywood / English,135,6.7,Gina Prince-Bythewood,2022-09-16,2022-09-19
371520,Love in Glacier National: A National Park Romance,English,3475,347,Hollywood / English,84,6.1,Christie Will,2023-01-28,2023-07-02
371496,Knock at the Cabin,English,14219,1775,Hollywood / English,100,6.4,M. Night Shyamalan,2023-02-03,2023-06-02
371493,80 for Brady,English,2492,167,Hollywood / English,98,5.9,Kyle Marvin,2023-02-03,2023-06-02
371491,Left Behind: Rise of the Antichrist,English,7084,469,Hollywood / English,120,4.3,Kevin Sorbo,2023-01-22,2023-06-02
359472,Black Site,English/Hindi,39886,9006,Hollywood / English,93,4.3,Sophia Banks-Coloma,2022-05-03,2022-12-05
371415,True Spirit,English/Hindi,27418,5503,Hollywood / English,109,6.9,Sarah Spillane,2023-02-03,2023-04-02
371414,Infiesto,English/Hindi,17706,3795,Hollywood / English,96,5.7,Patxi Amezcua,2023-02-03,2023-04-02
371412,Alice/Darling,English,7698,642,Hollywood / English,89,5.9,Mary Nighy,2023-01-20,2023-04-02
370414,Plane,English,39998,7676,Hollywood / English,107,6.9,Jean-François Richet,2023-01-13,2023-01-14
371368,The Dog Lover's Guide to Dating,English,2229,177,Hollywood / English,82,6.2,Craig Pryce,2023-01-01,2023-03-02
367538,Black Panther: Wakanda Forever,English/Hindi,246003,76908,Hollywood / English,161,7.2,Ryan Coogler,2022-11-11,2022-11-11
369611,Babylon,Spanish/Italian/French/Mandarin/Cantonese/English,60340,7068,Hollywood / English,189,7.6,Damien Chazelle,2022-12-23,2022-12-26
371234,Bezos,English,8924,715,Hollywood / English,99,4.9,Khoa Le,2023-01-24,2023-01-02
371182,When You Finish Saving the World,English,5239,436,Hollywood / English,88,5.9,Jesse Eisenberg,2022-01-20,2023-01-31
354943,Heatwave,English/Hindi,59278,10337,Hollywood / English,100,5.0,Ernie Barbarash,2022-01-17,2022-01-24
346118,Spirit Untamed,English/Hindi,45039,9833,Anime / Kids,88,5.5,Elaine Bogan/Ennio Torresan,2021-06-04,2021-06-25
370212,Shotgun Wedding,English,30738,4182,Hollywood / English,100,5.6,Jason Moore,2023-01-27,2023-10-01
371124,You People,English/Hindi,9284,1968,Hollywood / English,117,5.6,Kenya Barris,2023-01-27,2023-01-30
371117,Fear,English,4889,411,Hollywood / English,98,3.5,Deon Taylor,2023-01-27,2023-01-30
371006,Night Train,English,25729,3539,Hollywood / English,95,3.8,Shane Stanley,2023-01-17,2023-01-27
363788,Bodies Bodies Bodies,English/Hindi,27654,4477,Hollywood / English,94,6.3,Halina Reijn,2022-08-12,2022-08-22
370907,Pathaan,Hindi,371966,161862,Bollywood / Indian,146,7.0,Siddharth Anand,2023-01-25,2023-01-25
370851,Black Warrant,English,8800,1131,Hollywood / English,94,4.8,Tibor Takács,2023-01-05,2023-01-24
369869,M3gan,English,52019,8263,Hollywood / English,102,6.6,Gerard Johnstone,2023-01-06,2023-02-01
370744,Jung_E,English/Hindi,63060,18606,Hollywood / English,98,5.5,Sang-ho Yeon,2023-01-20,2023-01-21
